text,likes,retweets,replies,created_at,lang,is_meaningful
"TalkMe released the FIRST brand film made with Google's AI stack (Gemini, Veo 3 and Flow)

From a ""Penguin"" to a Million Learners: TalkMe Could Be the Next-Gen Duolingo",0,0,0,,en,NO
"Veo 3 rate limits (free, pro, ultra) are doubling for the next 24 hours, go make something cool!!",0,0,0,,en,NO
"Free users are getting +3 VEO 3 video generations extra during this weekend on Gemini! Pro and Ultra limits are doubled too! 

Veokend 👀👀👀 https://t.co/nbMiTeeUl9",0,0,0,,en,NO
New to making videos in Gemini? Here are some Veo 3 prompting tips to get you started 🧵,0,0,0,,en,NO
"This weekend only, everyone gets 3 free #Veo3 video generations from Gemini. To help you make the most of it, we’ve pulled together a few tips from our team so you can get better outputs for your prompts.

Check it out ⬇️",0,0,0,,en,NO
"The 🍌 Strikes AGAIN!

I took the principal people have been using in VEO 3 (annotating first frames to drive video generation results), and applied them to a Nano Banana prompt in LMArena.

Let's take a look 👇 https://t.co/odjiBS860J",0,0,0,,en,NO
"$10 VEO 3 AI ads are pumping 

Here’s what you can do 

- Talking head videos 
- Product in hand 
- AI hooks + B-roll

One of our brands made $35,000 in 1 month 

Entirely with AI ads 

Its not just the time it saves but costs less than $10/AD to create 

Comment “VEO” and I’ll send you our system 

(must be connected)",0,0,0,,en,NO
"Veo-3 is freaking amazing, can't imagine what Veo-4 will look like.

{
  ""shot"": {
    ""composition"": ""wide cinematic shot capturing the dragon in profile, tracking it from the side as it flies past"",
    ""camera_motion"": ""smooth aerial tracking shot that pans from left to right, following the dragon's majestic flight path"",
    ""frame_rate"": ""24fps"",
    ""film_grain"": ""subtle epic fantasy grain""
  },
  ""subject"": {
    ""description"": ""a massive, powerful white dragon with intricate scales, soaring gracefully over the ocean"",
    ""appearance"": ""realistic, formidable, House of the Dragon style, sharp detailed textures on scales and leathery wings""
  },
  ""scene"": {
    ""location"": ""a grand, dark stone castle perched atop a sheer, rugged cliff overlooking the sea"",
    ""time_of_day"": ""golden hour, with the setting sun casting a warm, dramatic light across the landscape"",
    ""environment"": ""expansive ocean with white-capped waves crashing against the base of the cliffs""
  },
  ""visual_details"": {
    ""action"": ""the dragon flies steadily past the cliffside castle, its large wings beating with immense power and grace"",
    ""focus"": ""the epic scale of the dragon against the vastness of the ocean and the imposing castle architecture""
  },
  ""cinematography"": {
    ""lighting"": ""warm, directional sunlight from a low angle, highlighting the texture of the dragon's scales and the cliff face"",
    ""tone"": ""epic, awe-inspiring, majestic, cinematic fantasy""
  },
  ""audio"": {
    ""ambient"": ""the sound of strong wind currents, the distant roar of crashing ocean waves"",
    ""sfx"": ""deep, powerful whooshing sounds from the dragon's massive wingbeats""
  },
  ""color_palette"": ""pale whites and grays, dark castle stone, deep ocean blues, and warm golden sunlight""
}",0,0,0,,en,YES
"🚨BREAKING: GPT-5 + Claude 4.1 + Google Veo 3… all with one account!

The world’s #1 all-in-one AI platform is here.

Search. Code. Image. Video. ➜ No limits.

Try it now 👇 https://t.co/dlRYkIpVsp",0,0,0,,en,NO
"Veo 3 is free for everyone this weekend.

So you’ll need good tips and prompts… and here I’m giving you more than 100 🧵👇🏻
https://t.co/cgwJ00UUWB",0,0,0,,en,NO
"🎨 VEO 3  1080 P🎨

 Prompt  :

Tracking shot on a RED Komodo camera with an anamorphic lens, cinematic, a lone surfer walks toward the ocean on a foggy beach at dawn, sand crunches underfoot as gulls circle overhead, the audio features waves crashing and distant gull cries, soft blue-gray tones with diffused morning light filtering through the mist.

Made in @LeonardoAi_",0,0,0,,en,YES
Get started making your own videos in Gemini today: https://t.co/x0H7mWra9m #Veo3 https://t.co/zeIxyyfgSl,0,0,0,,en,NO
Veo 3 is now free for the weekend for everyone to try  - can’t wait to see what you’ll create! 🎬,0,0,0,,en,NO
"Free Veo 3 this weekend in the @GeminiApp, enjoy : )",0,0,0,,en,NO
"Lots of shipping this week (with more coming soon 🍌). Here’s the recap:

— We’re making Veo 3 available to everyone in a free, limited-time trial this weekend in the @GeminiApp.

— AI credits are doubling for Google AI Ultra subscribers.

— Over 100M videos have been generated in @FlowbyGoogle. Share your favorites with us below!

—At #MadeByGoogle, we shared how we’re integrating our most advanced Gemini models into our hardware ecosystem of Pixel Phones, Watches, and Buds.

— AI Mode in @Google Search is now available in 180+ new countries and territories in English. We also brought more agentic capabilities and personalized responses to AI Mode so it can help you get things done and surface relevant options that are more personalized to you.

—@GoogleAIStudio now connects to GitHub and we released a new URL context tool in the Gemini API to help developers build more powerful and contextually-aware generative AI applications.",0,0,0,,en,NO
"Slide into the weekend with 3 video generations at no cost with Veo 3 in the @GeminiApp. But act fast — you have from now until Sunday, 8/24 at 10 pm PT. 

On your marks, get set, wheee!! 🛝 https://t.co/NA3ZzE4GDc",0,0,0,,en,NO
"Google made 3 Veo 3-powered video generations available on free accounts during this weekend. 

3 👀 https://t.co/pgYLvqWvOm",0,0,0,,en,NO
"Veo -3 fast on Gemini 🛶

A serene cinematic video captures a lone, empty wooden boat floating on impossibly clear, turquoise water. The boat is surrounded by towering, jungle-covered limestone cliffs that form a hidden lagoon. The slow, gentle drone shot pushes forward and rises slightly, creating a sense of peaceful exploration. The scene is lit by soft, diffused daylight, which makes the water's color pop and fills the air with a soft, volumetric mist. The audio is a tranquil blend of the gentle lapping of water, the distant, echoing calls of exotic birds, and the soft creak of the boat's wood, evoking a sense of untouched beauty and mystery.",0,0,0,,en,YES
"It’s pretty amazing that consumer AI hasn’t become “winner take all” (or arguably, even “winner take most”) on the model front

I use different models for each modality: 

- Text = ChatGPT 
- Image = Flux
- Video = Veo 3, Seedance
- Sound / voices = Eleven Labs

…and even more!",0,0,0,,en,NO
"Run unlimited API nodes in parallel — no more waiting, test endless ideas instantly!

New APIs now live in ComfyUI:
🔹 MiniMax Hailuo-02
🔹 Vidu
🔹 Kling 2.1
🔹 Veo 3 &amp; Veo 3 Fast
🔹 GPT-5
🔹 Gemini 2.5 https://t.co/XQaHLrsGp2",0,0,0,,en,NO
"🎨 VEO 3  🎨

JSON Prompt  :

{
  ""shot"": {
    ""composition"": ""tracking shot from a low angle behind the tiger"",
    ""lens"": ""telephoto lens with shallow depth of field"",
    ""frame_rate"": ""24fps"",
    ""camera_movement"": ""smooth, slow forward dolly tracking""
  },

  ""subject"": {
    ""description"": ""a Bengal tiger with glistening fur, muscles tense and alert"",
    ""wardrobe"": ""natural coat with orange, black, and white markings"",
    ""props"": ""none""
  },

  ""scene"": {
    ""location"": ""dense jungle with tall, dew-covered grass"",
    ""time_of_day"": ""misty dawn"",
    ""environment"": ""humid, fog-laced forest with filtered morning light""
  },

  ""visual_details"": {
    ""action"": ""the tiger moves stealthily through the grass, scanning for prey"",
    ""special_effects"": ""subtle mist particles and light rays breaking through trees"",
    ""hair_clothing_motion"": ""tiger’s fur ripples with each silent step""
  },

  ""cinematography"": {
    ""lighting"": ""soft, diffused natural light from the rising sun"",
    ""color_palette"": ""muted greens, browns, and the vibrant orange of the tiger"",
    ""tone"": ""majestic and suspenseful""
  },

  ""audio"": {
    ""music"": ""none"",
    ""ambient"": ""jungle sounds with distant bird calls and rustling leaves"",
    ""sound_effects"": ""subtle paw steps and occasional grass brushing"",
    ""mix_level"": ""naturalistic balance with slight emphasis on ambient detail""
  },

  ""dialogue"": {
    ""character"": """",
    ""line"": """",
    ""subtitles"": false
  }
}",0,0,0,,en,YES
"Veo-3 fast on Gemini 🏕️

""A hyper-realistic, dynamic shot of a modified Jeep Wrangler navigating a treacherous, rocky, and muddy trail on the edge of a mountain during a foggy, overcast day."",
   ""camera"": ""Dynamic Low-Angle Drone"", 
     ""lens"": ""35mm Anamorphic"", 
     ""aperture"": ""f/8.0"", 
     ""position"": ""Starts very low, focused on the front driver-side tire as it struggles for grip and climbs over a large, wet rock."", 
     ""movement"": ""The camera pulls back and rises in a steady arc, revealing the full vehicle, the steep drop-off to the right, and the vast, fog-filled valley below. The movement is timed with the Jeep clearing the obstacle."" 
   }, 

   ""environment"": ""A high-altitude, treacherous mountain pass in late autumn."", 
     ""trail"": ""A narrow, unpaved path consisting of a chaotic mix of sharp, dark, wet rocks, deep mud, and loose gravel."", 
     ""landscape"": ""Steep, rocky cliffs on one side and a sheer drop into a valley filled with thick, rolling volumetric fog on the other. In the far distance, snow-capped mountain peaks are visible above the fog."", 
     ""flora"": ""Patches of hardy, wind-swept bushes with vibrant orange and yellow autumn leaves. A few sparse, resilient pine trees cling to the mountainside."", 
     ""atmosphere"": ""The air is heavy with mist and a light, drizzling rain. The Jeep's headlights cut through the gloom, creating visible beams."" 
   }, 
   ""lighting"": ""Heavy Overcast Sky"", 
       ""position"": ""Overhead, completely diffused."",
       ""intensity"": ""Low, creating a high-contrast, dramatic look."" 
     } 
   }, 
   ""vehicle"": ""Modified Jeep Wrangler"", 
     ""materials"": { 
       ""paint"": ""Dark grey or black metallic paint, heavily splattered with wet mud and trail grime. Water is beading on the hood."", 
       ""tires"": ""Large, aggressive off-road tires, caked in mud, with a wet, glossy sheen on the rubber."", 
       ""details"": ""The windshield is wet, with realistically animated wipers clearing the drizzle. The undercarriage is scratched and muddy. A steel winch is mounted on the front bumper."" 
     }, 
     ""animation"": ""The Jeep moves very slowly, demonstrating immense torque. The suspension articulates dramatically, with each wheel moving independently as it crawls over the uneven terrain. The tires spin and slip on wet rocks, kicking up rooster tails of mud and water. The vehicle's body rocks and lurches with the effort."" 
   },  
         ""sound"": ""The low, guttural groan of a high-torque engine under load, mixed with the whine of the 4x4 drivetrain.""",0,0,0,,en,YES
